ID,Attribute,Date,Value
22410,No2,02-Mar2019 02:28:38,High
22411,Emission,02-Mar2019 02:30:18,7
22412,Vibration,02-Mar2019 02:28:06,89
22413,Temperature,02-Mar2019 02:29:30,76
22414,Emission,02-Mar2019 02:30:22,6
22415,Fuel Rate,02-Mar2019 02:31:06,25
22416,Moisture,02-Mar2019 02:27:06,57%
22417,Vibration,02-Mar2019 02:28:10,53
22418,Moisture,02-Mar2019 02:27:10,58%
22419,No2,02-Mar2019 02:28:42,Medium
22420,Moisture,02-Mar2019 02:27:14,60%
22421,Moisture,02-Mar2019 02:27:18,50%
22422,Moisture,02-Mar2019 02:27:22,50%
22423,RPM,02-Mar2019 02:28:54,1740
22424,Vibration,02-Mar2019 02:28:14,71
22425,Moisture,02-Mar2019 02:27:26,58%
22426,Moisture,02-Mar2019 02:27:30,68%
22427,Gas Flow,02-Mar2019 02:27:46,67
22428,Vibration,02-Mar2019 02:28:18,65
22429,Discharge,02-Mar2019 02:32:02,12
22430,Vibration,02-Mar2019 02:28:22,82
22431,Discharge,02-Mar2019 02:32:06,12
22432,No2,02-Mar2019 02:28:46,Medium
22433,Fuel Rate,02-Mar2019 02:31:10,27
22434,Discharge,02-Mar2019 02:32:10,14
22435,Pressure,02-Mar2019 02:28:50,3
22436,Discharge,02-Mar2019 02:32:14,19
22437,RPM,02-Mar2019 02:28:58,1512
22438,Pressure,02-Mar2019 02:28:54,4
22439,Gas Flow,02-Mar2019 02:27:50,71
22440,Fuel Rate,02-Mar2019 02:31:14,28
22441,Emission,02-Mar2019 02:30:26,8
22442,Fuel Rate,02-Mar2019 02:31:18,29
22443,RPM,02-Mar2019 02:29:02,1784
22444,Emission,02-Mar2019 02:30:30,9
22445,Discharge,02-Mar2019 02:32:18,20
22446,Discharge,02-Mar2019 02:32:22,12
22447,Fuel Rate,02-Mar2019 02:31:22,27
22448,Vibration,02-Mar2019 02:28:26,No Signal
22449,Discharge,02-Mar2019 02:32:26,11
22450,Temperature,02-Mar2019 02:29:34,80
22451,Emission,02-Mar2019 02:30:34,No Signal
22452,Pressure,02-Mar2019 02:28:58,2
22453,Vibration,02-Mar2019 02:28:30,86
22454,Gas Flow,02-Mar2019 02:27:54,60
22455,RPM,02-Mar2019 02:29:06,1611
22456,Gas Flow,02-Mar2019 02:27:58,60
22457,Vibration,02-Mar2019 02:28:34,51
22458,Discharge,02-Mar2019 02:32:30,15
22459,Moisture,02-Mar2019 02:27:34,67%
22460,Vibration,02-Mar2019 02:28:38,50
22461,Moisture,02-Mar2019 02:27:38,59%
22462,No2,02-Mar2019 02:28:50,High
22463,Gas Flow,02-Mar2019 02:28:02,73
22464,Fuel Rate,02-Mar2019 02:31:26,29
22465,Moisture,02-Mar2019 02:27:42,70%
22466,Fuel Rate,02-Mar2019 02:31:30,29
22467,Fuel Rate,02-Mar2019 02:31:34,28
22468,Temperature,02-Mar2019 02:29:38,78
22469,No2,02-Mar2019 02:28:54,Low
22470,Pressure,02-Mar2019 02:29:02,2
22471,RPM,02-Mar2019 02:29:10,1266
22472,Fuel Rate,02-Mar2019 02:31:38,28
22473,Temperature,02-Mar2019 02:29:42,72
22474,No2,02-Mar2019 02:28:58,Medium
22475,Gas Flow,02-Mar2019 02:28:06,76
22476,Emission,02-Mar2019 02:30:38,6
22477,Emission,02-Mar2019 02:30:42,5
22478,Temperature,02-Mar2019 02:29:46,60
22479,Pressure,02-Mar2019 02:29:06,4
22480,Vibration,02-Mar2019 02:28:42,77
22481,Fuel Rate,02-Mar2019 02:31:42,29
22482,RPM,02-Mar2019 02:29:14,1148
22483,Temperature,02-Mar2019 02:29:50,80
22484,Moisture,02-Mar2019 02:27:46,70%
22485,RPM,02-Mar2019 02:29:18,1347
22486,No2,02-Mar2019 02:29:02,Medium
22487,Pressure,02-Mar2019 02:29:10,5
22488,Temperature,02-Mar2019 02:29:54,72
22489,Discharge,02-Mar2019 02:32:34,17
22490,RPM,02-Mar2019 02:29:22,1182
22491,Moisture,02-Mar2019 02:27:50,66%
22492,No2,02-Mar2019 02:29:06,Low
22493,Fuel Rate,02-Mar2019 02:31:46,No Signal
22494,Vibration,02-Mar2019 02:28:46,54
22495,Discharge,02-Mar2019 02:32:38,20
22496,Gas Flow,02-Mar2019 02:28:10,80
22497,Discharge,02-Mar2019 02:32:42,11
22498,Vibration,02-Mar2019 02:28:50,90
22499,Fuel Rate,02-Mar2019 02:31:50,26
22500,Vibration,02-Mar2019 02:28:54,69
22501,Emission,02-Mar2019 02:30:46,10
22502,Fuel Rate,02-Mar2019 02:31:54,27
22503,Discharge,02-Mar2019 02:32:46,13
22504,Pressure,02-Mar2019 02:29:14,Data Lost
22505,Discharge,02-Mar2019 02:32:50,19
22506,Emission,02-Mar2019 02:30:50,9
22507,Temperature,02-Mar2019 02:29:58,65
22508,RPM,02-Mar2019 02:29:26,1284
22509,Vibration,02-Mar2019 02:28:58,54
22510,Fuel Rate,02-Mar2019 02:31:58,29
22511,Emission,02-Mar2019 02:30:54,9
22512,Fuel Rate,02-Mar2019 02:32:02,25
22513,Vibration,02-Mar2019 02:29:02,69
22514,Gas Flow,02-Mar2019 02:28:14,67
22515,Temperature,02-Mar2019 02:30:02,No Signal
22516,Discharge,02-Mar2019 02:32:54,15
22517,Temperature,02-Mar2019 02:30:06,77
22518,Vibration,02-Mar2019 02:29:06,62
22519,Fuel Rate,02-Mar2019 02:32:06,28
22520,Moisture,02-Mar2019 02:27:54,68%
22521,Pressure,02-Mar2019 02:29:18,5
22522,Pressure,02-Mar2019 02:29:22,1
22523,Gas Flow,02-Mar2019 02:28:18,80
22524,Discharge,02-Mar2019 02:32:58,15
22525,RPM,02-Mar2019 02:29:30,1038
22526,Pressure,02-Mar2019 02:29:26,4
22527,Emission,02-Mar2019 02:30:58,10
22528,RPM,02-Mar2019 02:29:34,1735
22529,RPM,02-Mar2019 02:29:38,No Signal
22530,No2,02-Mar2019 02:29:10,High
22531,No2,02-Mar2019 02:29:14,High
22532,Pressure,02-Mar2019 02:29:30,2
22533,RPM,02-Mar2019 02:29:42,1687
22534,Moisture,02-Mar2019 02:27:58,58%
22535,Gas Flow,02-Mar2019 02:28:22,63
22536,Moisture,02-Mar2019 02:28:02,58%
22537,No2,02-Mar2019 02:29:18,Low
22538,Pressure,02-Mar2019 02:29:34,4
22539,Gas Flow,02-Mar2019 02:28:26,72
22540,Pressure,02-Mar2019 02:29:38,5
22541,Moisture,02-Mar2019 02:28:06,67%
22542,RPM,02-Mar2019 02:29:46,Data Lost
22543,Moisture,02-Mar2019 02:28:10,63%
22544,No2,02-Mar2019 02:29:22,Medium
22545,Pressure,02-Mar2019 02:29:42,1
22546,Vibration,02-Mar2019 02:29:10,70
22547,Emission,02-Mar2019 02:31:02,5
22548,No2,02-Mar2019 02:29:26,High
22549,Temperature,02-Mar2019 02:30:10,56
22550,No2,02-Mar2019 02:29:30,Low
22551,Pressure,02-Mar2019 02:29:46,2
22552,RPM,02-Mar2019 02:29:50,1945
22553,RPM,02-Mar2019 02:29:54,1371
22554,RPM,02-Mar2019 02:29:58,1526
22555,Pressure,02-Mar2019 02:29:50,3
22556,No2,02-Mar2019 02:29:34,Low
22557,Gas Flow,02-Mar2019 02:28:30,61
22558,RPM,02-Mar2019 02:30:02,1691
22559,No2,02-Mar2019 02:29:38,Medium
22560,RPM,02-Mar2019 02:30:06,1852
22561,Fuel Rate,02-Mar2019 02:32:10,28
22562,Moisture,02-Mar2019 02:28:14,64%
22563,Vibration,02-Mar2019 02:29:14,78
22564,No2,02-Mar2019 02:29:42,High
22565,RPM,02-Mar2019 02:30:10,1889
22566,Gas Flow,02-Mar2019 02:28:34,80
22567,Vibration,02-Mar2019 02:29:18,71
22568,Gas Flow,02-Mar2019 02:28:38,65
22569,Discharge,02-Mar2019 02:33:02,13
22570,Fuel Rate,02-Mar2019 02:32:14,25
22571,Moisture,02-Mar2019 02:28:18,60%
22572,Gas Flow,02-Mar2019 02:28:42,No Signal
22573,Fuel Rate,02-Mar2019 02:32:18,27
22574,Temperature,02-Mar2019 02:30:14,50
22575,Vibration,02-Mar2019 02:29:22,86
22576,Emission,02-Mar2019 02:31:06,8
22577,No2,02-Mar2019 02:29:46,Low
22578,Vibration,02-Mar2019 02:29:26,79
22579,Emission,02-Mar2019 02:31:10,7
22580,Pressure,02-Mar2019 02:29:54,5
22581,Discharge,02-Mar2019 02:33:06,12
22582,Discharge,02-Mar2019 02:33:09,12
22583,Temperature,02-Mar2019 02:30:18,72
22584,Vibration,02-Mar2019 02:29:30,77
22585,RPM,02-Mar2019 02:30:14,1955
22586,Vibration,02-Mar2019 02:29:34,51
22587,Gas Flow,02-Mar2019 02:28:46,68
22588,Fuel Rate,02-Mar2019 02:32:22,25
22589,Emission,02-Mar2019 02:31:14,10
22590,Vibration,02-Mar2019 02:29:38,I/O TimeOut
22591,No2,02-Mar2019 02:29:50,Low
22592,Emission,02-Mar2019 02:31:18,8
22593,Gas Flow,02-Mar2019 02:28:50,66
22594,Temperature,02-Mar2019 02:30:22,78
22595,Vibration,02-Mar2019 02:29:42,89
22596,Gas Flow,02-Mar2019 02:28:54,79
22597,Gas Flow,02-Mar2019 02:28:58,69
22598,Temperature,02-Mar2019 02:30:26,66
22599,Vibration,02-Mar2019 02:29:46,65
22600,Gas Flow,02-Mar2019 02:29:02,60
22601,Vibration,02-Mar2019 02:29:50,78
22602,Emission,02-Mar2019 02:31:22,10
22603,Gas Flow,02-Mar2019 02:29:06,Data Lost
22604,Fuel Rate,02-Mar2019 02:32:26,29
22605,Pressure,02-Mar2019 02:29:58,4
22606,No2,02-Mar2019 02:29:54,Low
22607,No2,02-Mar2019 02:29:58,Low
22608,RPM,02-Mar2019 02:30:18,1016
22609,Discharge,02-Mar2019 02:33:13,17
22610,No2,02-Mar2019 02:30:02,Medium
22611,Gas Flow,02-Mar2019 02:29:10,64
22612,Discharge,02-Mar2019 02:33:17,17
22613,Discharge,02-Mar2019 02:33:21,14
22614,No2,02-Mar2019 02:30:06,Low
22615,Temperature,02-Mar2019 02:30:30,76
22616,Temperature,02-Mar2019 02:30:34,63
22617,Temperature,02-Mar2019 02:30:38,52
22618,Discharge,02-Mar2019 02:33:25,11
22619,Emission,02-Mar2019 02:31:26,7
22620,RPM,02-Mar2019 02:30:22,1504
22621,Discharge,02-Mar2019 02:33:29,16
22622,Moisture,02-Mar2019 02:28:22,56%
22623,RPM,02-Mar2019 02:30:26,1278
22624,Pressure,02-Mar2019 02:30:02,2
22625,Emission,02-Mar2019 02:31:30,8
22626,RPM,02-Mar2019 02:30:30,1839
22627,Pressure,02-Mar2019 02:30:06,4
22628,Moisture,02-Mar2019 02:28:26,57%
22629,Emission,02-Mar2019 02:31:34,5
22630,Emission,02-Mar2019 02:31:38,9
22631,Vibration,02-Mar2019 02:29:54,70
22632,RPM,02-Mar2019 02:30:34,1891
22633,Fuel Rate,02-Mar2019 02:32:30,27
22634,No2,02-Mar2019 02:30:10,Medium
22635,Gas Flow,02-Mar2019 02:29:14,66
22636,Moisture,02-Mar2019 02:28:30,53%
22637,RPM,02-Mar2019 02:30:38,1303
22638,Fuel Rate,02-Mar2019 02:32:34,26
22639,Moisture,02-Mar2019 02:28:34,67%
22640,Pressure,02-Mar2019 02:30:10,4
22641,Emission,02-Mar2019 02:31:42,7
22642,Fuel Rate,02-Mar2019 02:32:38,29
22643,No2,02-Mar2019 02:30:14,Low
22644,Fuel Rate,02-Mar2019 02:32:42,I/O TimeOut
22645,Temperature,02-Mar2019 02:30:42,51
22646,Temperature,02-Mar2019 02:30:46,59
22647,Moisture,02-Mar2019 02:28:38,60%
22648,RPM,02-Mar2019 02:30:42,1068
22649,Emission,02-Mar2019 02:31:46,No Signal
22650,Discharge,02-Mar2019 02:33:33,15
22651,Pressure,02-Mar2019 02:30:14,4
22652,RPM,02-Mar2019 02:30:46,1001
22653,Temperature,02-Mar2019 02:30:50,56
22654,Temperature,02-Mar2019 02:30:54,74
22655,Gas Flow,02-Mar2019 02:29:18,61
22656,Discharge,02-Mar2019 02:33:37,15
22657,Vibration,02-Mar2019 02:29:58,52
22658,Pressure,02-Mar2019 02:30:18,3
22659,Temperature,02-Mar2019 02:30:58,66
22660,Moisture,02-Mar2019 02:28:42,51%
22661,No2,02-Mar2019 02:30:18,High
22662,Vibration,02-Mar2019 02:30:02,No Signal
22663,RPM,02-Mar2019 02:30:50,Data Lost
22664,Gas Flow,02-Mar2019 02:29:22,74
22665,RPM,02-Mar2019 02:30:54,1278
22666,Pressure,02-Mar2019 02:30:22,5
22667,Emission,02-Mar2019 02:31:50,9
22668,Fuel Rate,02-Mar2019 02:32:46,25
22669,Temperature,02-Mar2019 02:31:02,65
22670,Pressure,02-Mar2019 02:30:26,5
22671,Pressure,02-Mar2019 02:30:30,1
22672,Fuel Rate,02-Mar2019 02:32:50,27
22673,Gas Flow,02-Mar2019 02:29:26,63
22674,Temperature,02-Mar2019 02:31:06,50
22675,Fuel Rate,02-Mar2019 02:32:54,28
22676,Gas Flow,02-Mar2019 02:29:30,80
22677,Emission,02-Mar2019 02:31:54,9
22678,Vibration,02-Mar2019 02:30:06,No Signal
22679,Pressure,02-Mar2019 02:30:34,2
22680,Temperature,02-Mar2019 02:31:10,54
22681,Temperature,02-Mar2019 02:31:14,58
22682,RPM,02-Mar2019 02:30:58,1095
22683,Discharge,02-Mar2019 02:33:41,13
22684,No2,02-Mar2019 02:30:22,Medium
22685,No2,02-Mar2019 02:30:26,Low
22686,Pressure,02-Mar2019 02:30:38,3
22687,Emission,02-Mar2019 02:31:58,7
22688,No2,02-Mar2019 02:30:30,Low
22689,Fuel Rate,02-Mar2019 02:32:58,25
22690,Discharge,02-Mar2019 02:33:45,18
22691,Discharge,02-Mar2019 02:33:49,14
22692,Vibration,02-Mar2019 02:30:10,51
22693,No2,02-Mar2019 02:30:34,High
22694,Pressure,02-Mar2019 02:30:42,2
22695,Moisture,02-Mar2019 02:28:46,50%
22696,No2,02-Mar2019 02:30:38,Medium
22697,Emission,02-Mar2019 02:32:02,10
22698,Gas Flow,02-Mar2019 02:29:34,68
22699,RPM,02-Mar2019 02:31:02,1002
22700,Moisture,02-Mar2019 02:28:50,61%
22701,Fuel Rate,02-Mar2019 02:33:02,25
22702,RPM,02-Mar2019 02:31:06,1079
22703,Fuel Rate,02-Mar2019 02:33:06,26
22704,Discharge,02-Mar2019 02:33:53,18
22705,Discharge,02-Mar2019 02:33:57,15
22706,Fuel Rate,02-Mar2019 02:33:09,29
22707,Gas Flow,02-Mar2019 02:29:38,72
22708,Gas Flow,02-Mar2019 02:29:42,70
22709,Moisture,02-Mar2019 02:28:54,61%
22710,Vibration,02-Mar2019 02:30:14,58
22711,Discharge,02-Mar2019 02:34:01,12
22712,Discharge,02-Mar2019 02:34:05,17
22713,Temperature,02-Mar2019 02:31:18,56
22714,RPM,02-Mar2019 02:31:10,1900
22715,Emission,02-Mar2019 02:32:06,6
22716,Pressure,02-Mar2019 02:30:46,5
22717,Fuel Rate,02-Mar2019 02:33:13,27
22718,Temperature,02-Mar2019 02:31:22,65
22719,Gas Flow,02-Mar2019 02:29:46,72
22720,Fuel Rate,02-Mar2019 02:33:17,28
22721,Pressure,02-Mar2019 02:30:50,1
22722,No2,02-Mar2019 02:30:42,High
22723,RPM,02-Mar2019 02:31:14,1635
22724,No2,02-Mar2019 02:30:46,Medium
22725,Vibration,02-Mar2019 02:30:18,74
22726,Fuel Rate,02-Mar2019 02:33:21,29
22727,RPM,02-Mar2019 02:31:18,1921
22728,Fuel Rate,02-Mar2019 02:33:25,25
22729,Moisture,02-Mar2019 02:28:58,68%
22730,Vibration,02-Mar2019 02:30:22,57
22731,Gas Flow,02-Mar2019 02:29:50,76
22732,Moisture,02-Mar2019 02:29:02,50%
22733,Emission,02-Mar2019 02:32:10,10
22734,Gas Flow,02-Mar2019 02:29:54,77
22735,No2,02-Mar2019 02:30:50,Low
22736,RPM,02-Mar2019 02:31:22,1307
22737,Moisture,02-Mar2019 02:29:06,68%
22738,RPM,02-Mar2019 02:31:26,1385
22739,Discharge,02-Mar2019 02:34:09,14
22740,Fuel Rate,02-Mar2019 02:33:29,27
22741,Gas Flow,02-Mar2019 02:29:58,71
22742,Gas Flow,02-Mar2019 02:30:02,74
22743,Gas Flow,02-Mar2019 02:30:06,69
22744,Discharge,02-Mar2019 02:34:13,11
22745,Fuel Rate,02-Mar2019 02:33:33,29
22746,RPM,02-Mar2019 02:31:30,1187
22747,Fuel Rate,02-Mar2019 02:33:37,28
22748,Gas Flow,02-Mar2019 02:30:10,62
22749,Moisture,02-Mar2019 02:29:10,53%
22750,No2,02-Mar2019 02:30:54,Low
22751,Vibration,02-Mar2019 02:30:26,87
22752,Gas Flow,02-Mar2019 02:30:14,63
22753,Fuel Rate,02-Mar2019 02:33:41,28
22754,Vibration,02-Mar2019 02:30:30,64
22755,Temperature,02-Mar2019 02:31:26,67
22756,Moisture,02-Mar2019 02:29:14,54%
22757,RPM,02-Mar2019 02:31:34,1843
22758,Vibration,02-Mar2019 02:30:34,51
22759,No2,02-Mar2019 02:30:58,Low
22760,No2,02-Mar2019 02:31:02,High
22761,Gas Flow,02-Mar2019 02:30:18,68
22762,Discharge,02-Mar2019 02:34:17,18
22763,Moisture,02-Mar2019 02:29:18,50%
22764,Vibration,02-Mar2019 02:30:38,52
22765,Discharge,02-Mar2019 02:34:21,14
22766,Vibration,02-Mar2019 02:30:42,87
22767,Emission,02-Mar2019 02:32:14,6
22768,Fuel Rate,02-Mar2019 02:33:45,29
22769,Moisture,02-Mar2019 02:29:22,52%
22770,Gas Flow,02-Mar2019 02:30:22,80
22771,RPM,02-Mar2019 02:31:38,1132
22772,RPM,02-Mar2019 02:31:42,1347
22773,No2,02-Mar2019 02:31:06,High
22774,Moisture,02-Mar2019 02:29:26,62%
22775,RPM,02-Mar2019 02:31:46,1431
22776,No2,02-Mar2019 02:31:10,Medium
22777,No2,02-Mar2019 02:31:14,Medium
22778,Discharge,02-Mar2019 02:34:25,20
22779,Fuel Rate,02-Mar2019 02:33:49,No Signal
22780,Fuel Rate,02-Mar2019 02:33:53,29
22781,Pressure,02-Mar2019 02:30:54,4
22782,RPM,02-Mar2019 02:31:50,1723
22783,Emission,02-Mar2019 02:32:18,6
22784,Fuel Rate,02-Mar2019 02:33:57,28
22785,Temperature,02-Mar2019 02:31:30,73
22786,Moisture,02-Mar2019 02:29:30,55%
22787,Discharge,02-Mar2019 02:34:29,16
22788,RPM,02-Mar2019 02:31:54,1579
22789,Gas Flow,02-Mar2019 02:30:26,78
22790,Fuel Rate,02-Mar2019 02:34:01,26
22791,Pressure,02-Mar2019 02:30:58,4
22792,Temperature,02-Mar2019 02:31:34,55
22793,Discharge,02-Mar2019 02:34:33,Data Lost
22794,Vibration,02-Mar2019 02:30:46,62
22795,Discharge,02-Mar2019 02:34:37,15
22796,Pressure,02-Mar2019 02:31:02,5
22797,Pressure,02-Mar2019 02:31:06,2
22798,Fuel Rate,02-Mar2019 02:34:05,29
22799,Emission,02-Mar2019 02:32:22,9
22800,Pressure,02-Mar2019 02:31:10,3
22801,Fuel Rate,02-Mar2019 02:34:09,I/O TimeOut
22802,No2,02-Mar2019 02:31:18,Low
22803,Emission,02-Mar2019 02:32:26,9
22804,Gas Flow,02-Mar2019 02:30:30,79
22805,Moisture,02-Mar2019 02:29:34,58%
22806,Pressure,02-Mar2019 02:31:14,4
22807,Pressure,02-Mar2019 02:31:18,4
22808,Fuel Rate,02-Mar2019 02:34:13,30
22809,Temperature,02-Mar2019 02:31:38,78
22810,RPM,02-Mar2019 02:31:58,1736
22811,RPM,02-Mar2019 02:32:02,1105
22812,Emission,02-Mar2019 02:32:30,8
22813,Temperature,02-Mar2019 02:31:42,80
22814,Pressure,02-Mar2019 02:31:22,1
22815,Emission,02-Mar2019 02:32:34,8
22816,Gas Flow,02-Mar2019 02:30:34,77
22817,Fuel Rate,02-Mar2019 02:34:17,27
22818,Vibration,02-Mar2019 02:30:50,68
22819,Gas Flow,02-Mar2019 02:30:38,67
22820,Discharge,02-Mar2019 02:34:41,11
22821,No2,02-Mar2019 02:31:22,Medium
22822,Fuel Rate,02-Mar2019 02:34:21,30
22823,Moisture,02-Mar2019 02:29:38,No Signal
22824,Moisture,02-Mar2019 02:29:42,52%
22825,Gas Flow,02-Mar2019 02:30:42,65
22826,No2,02-Mar2019 02:31:26,Low
22827,Vibration,02-Mar2019 02:30:54,71
22828,Fuel Rate,02-Mar2019 02:34:25,30
22829,Vibration,02-Mar2019 02:30:58,69
22830,Gas Flow,02-Mar2019 02:30:46,67
22831,Emission,02-Mar2019 02:32:38,9
22832,Temperature,02-Mar2019 02:31:46,76
22833,Gas Flow,02-Mar2019 02:30:50,66
22834,Fuel Rate,02-Mar2019 02:34:29,26
22835,Emission,02-Mar2019 02:32:42,8
22836,Vibration,02-Mar2019 02:31:02,64
22837,Temperature,02-Mar2019 02:31:50,79
22838,Moisture,02-Mar2019 02:29:46,70%
22839,Vibration,02-Mar2019 02:31:06,79
22840,RPM,02-Mar2019 02:32:06,1107
22841,Emission,02-Mar2019 02:32:46,6
22842,Gas Flow,02-Mar2019 02:30:54,64
22843,Vibration,02-Mar2019 02:31:10,72
22844,RPM,02-Mar2019 02:32:10,1837
22845,Emission,02-Mar2019 02:32:50,9
22846,No2,02-Mar2019 02:31:30,Low
22847,Temperature,02-Mar2019 02:31:54,74
22848,Fuel Rate,02-Mar2019 02:34:33,29
22849,Vibration,02-Mar2019 02:31:14,61
22850,RPM,02-Mar2019 02:32:14,1184
22851,Vibration,02-Mar2019 02:31:18,50
22852,Discharge,02-Mar2019 02:34:45,14
22853,Fuel Rate,02-Mar2019 02:34:37,30
22854,Temperature,02-Mar2019 02:31:58,71
22855,Vibration,02-Mar2019 02:31:22,77
22856,Gas Flow,02-Mar2019 02:30:58,76
22857,Moisture,02-Mar2019 02:29:50,57%
22858,No2,02-Mar2019 02:31:34,Medium
22859,Vibration,02-Mar2019 02:31:26,82
22860,Temperature,02-Mar2019 02:32:02,51
22861,Fuel Rate,02-Mar2019 02:34:41,30
22862,Emission,02-Mar2019 02:32:54,9
22863,RPM,02-Mar2019 02:32:18,1537
22864,RPM,02-Mar2019 02:32:22,1774
22865,Gas Flow,02-Mar2019 02:31:02,70
22866,Discharge,02-Mar2019 02:34:49,19
22867,Temperature,02-Mar2019 02:32:06,66
22868,Gas Flow,02-Mar2019 02:31:06,77
22869,Temperature,02-Mar2019 02:32:10,63
22870,RPM,02-Mar2019 02:32:26,1251
22871,Vibration,02-Mar2019 02:31:30,84
22872,Emission,02-Mar2019 02:32:58,8
22873,Gas Flow,02-Mar2019 02:31:10,74
22874,Fuel Rate,02-Mar2019 02:34:45,30
22875,Discharge,02-Mar2019 02:34:53,13
22876,Vibration,02-Mar2019 02:31:34,70
22877,Moisture,02-Mar2019 02:29:54,69%
22878,Gas Flow,02-Mar2019 02:31:14,67
22879,Pressure,02-Mar2019 02:31:26,1
22880,Vibration,02-Mar2019 02:31:38,76
22881,Vibration,02-Mar2019 02:31:42,55
22882,Fuel Rate,02-Mar2019 02:34:49,25
22883,No2,02-Mar2019 02:31:38,Medium
22884,Pressure,02-Mar2019 02:31:30,3
22885,RPM,02-Mar2019 02:32:30,1602
22886,Moisture,02-Mar2019 02:29:58,70%
22887,Gas Flow,02-Mar2019 02:31:18,73
22888,RPM,02-Mar2019 02:32:34,1198
22889,Pressure,02-Mar2019 02:31:34,3
22890,Vibration,02-Mar2019 02:31:46,65
22891,Gas Flow,02-Mar2019 02:31:22,67
22892,Moisture,02-Mar2019 02:30:02,51%
22893,Moisture,02-Mar2019 02:30:06,60%
22894,Emission,02-Mar2019 02:33:02,5
22895,Vibration,02-Mar2019 02:31:50,61
22896,Temperature,02-Mar2019 02:32:14,52
22897,Fuel Rate,02-Mar2019 02:34:53,30
22898,RPM,02-Mar2019 02:32:38,1781
22899,Vibration,02-Mar2019 02:31:54,83
22900,Emission,02-Mar2019 02:33:06,5
22901,Moisture,02-Mar2019 02:30:10,55%
22902,Fuel Rate,02-Mar2019 02:34:57,26
22903,No2,02-Mar2019 02:31:42,High
22904,RPM,02-Mar2019 02:32:42,1746
22905,Temperature,02-Mar2019 02:32:18,64
22906,No2,02-Mar2019 02:31:46,I/O TimeOut
22907,Gas Flow,02-Mar2019 02:31:26,65
22908,Moisture,02-Mar2019 02:30:14,59%
22909,Discharge,02-Mar2019 02:34:57,13
22910,Pressure,02-Mar2019 02:31:38,2
22911,Vibration,02-Mar2019 02:31:58,68
22912,No2,02-Mar2019 02:31:50,Medium
22913,Discharge,02-Mar2019 02:35:01,16
22914,Fuel Rate,02-Mar2019 02:35:01,25
22915,RPM,02-Mar2019 02:32:46,1344
22916,Discharge,02-Mar2019 02:35:05,Data Lost
22917,Vibration,02-Mar2019 02:32:02,72
22918,Pressure,02-Mar2019 02:31:42,1
22919,RPM,02-Mar2019 02:32:50,1016
22920,No2,02-Mar2019 02:31:54,High
22921,No2,02-Mar2019 02:31:58,Low
22922,Temperature,02-Mar2019 02:32:22,63
22923,RPM,02-Mar2019 02:32:54,1801
22924,Moisture,02-Mar2019 02:30:18,58%
22925,RPM,02-Mar2019 02:32:58,1045
22926,Fuel Rate,02-Mar2019 02:35:05,29
22927,Emission,02-Mar2019 02:33:09,9
22928,Emission,02-Mar2019 02:33:13,9
22929,RPM,02-Mar2019 02:33:02,1825
22930,Temperature,02-Mar2019 02:32:26,79
22931,RPM,02-Mar2019 02:33:06,1112
22932,Fuel Rate,02-Mar2019 02:35:09,26
22933,Vibration,02-Mar2019 02:32:06,65
22934,Temperature,02-Mar2019 02:32:30,65
22935,Emission,02-Mar2019 02:33:17,10
22936,Gas Flow,02-Mar2019 02:31:30,72
22937,Discharge,02-Mar2019 02:35:09,13
22938,Moisture,02-Mar2019 02:30:22,I/O TimeOut
22939,Moisture,02-Mar2019 02:30:26,66%
22940,Discharge,02-Mar2019 02:35:13,19
22941,Emission,02-Mar2019 02:33:21,7
22942,Emission,02-Mar2019 02:33:25,10
22943,Temperature,02-Mar2019 02:32:34,52
22944,Vibration,02-Mar2019 02:32:10,80
22945,Gas Flow,02-Mar2019 02:31:34,78
22946,Emission,02-Mar2019 02:33:29,8
22947,Gas Flow,02-Mar2019 02:31:38,79
22948,No2,02-Mar2019 02:32:02,No Signal
22949,Gas Flow,02-Mar2019 02:31:42,66
22950,Gas Flow,02-Mar2019 02:31:46,73
22951,Discharge,02-Mar2019 02:35:17,14
22952,Gas Flow,02-Mar2019 02:31:50,68
22953,Pressure,02-Mar2019 02:31:46,4
22954,Gas Flow,02-Mar2019 02:31:54,72
22955,RPM,02-Mar2019 02:33:09,1210
22956,Pressure,02-Mar2019 02:31:50,No Signal
22957,Emission,02-Mar2019 02:33:33,6
22958,Gas Flow,02-Mar2019 02:31:58,68
22959,No2,02-Mar2019 02:32:06,Low
22960,RPM,02-Mar2019 02:33:13,1398
22961,Pressure,02-Mar2019 02:31:54,3
22962,RPM,02-Mar2019 02:33:17,1346
22963,Gas Flow,02-Mar2019 02:32:02,78
22964,Vibration,02-Mar2019 02:32:14,69
22965,RPM,02-Mar2019 02:33:21,1554
22966,Gas Flow,02-Mar2019 02:32:06,No Signal
22967,Discharge,02-Mar2019 02:35:21,14
22968,Pressure,02-Mar2019 02:31:58,2
22969,Pressure,02-Mar2019 02:32:02,4
22970,No2,02-Mar2019 02:32:10,High
22971,No2,02-Mar2019 02:32:14,Low
22972,RPM,02-Mar2019 02:33:25,1611
22973,Temperature,02-Mar2019 02:32:38,68
22974,Temperature,02-Mar2019 02:32:42,55
22975,Discharge,02-Mar2019 02:35:25,11
22976,Pressure,02-Mar2019 02:32:06,2
